sample,timestamp_utc,gpu_index,utilization_percent,memory_used_mib
1,2026-07-28T21:08:35Z,0,100,813
1,2026-07-28T21:08:35Z,1,100,813
1,2026-07-28T21:08:35Z,2,100,813
1,2026-07-28T21:08:35Z,3,100,813
1,2026-07-28T21:08:35Z,4,100,813
1,2026-07-28T21:08:35Z,5,100,813
1,2026-07-28T21:08:35Z,6,100,813
1,2026-07-28T21:08:35Z,7,100,813
2,2026-07-28T21:08:36Z,0,100,813
2,2026-07-28T21:08:36Z,1,100,813
2,2026-07-28T21:08:36Z,2,100,813
2,2026-07-28T21:08:36Z,3,100,813
2,2026-07-28T21:08:36Z,4,100,813
2,2026-07-28T21:08:36Z,5,100,813
2,2026-07-28T21:08:36Z,6,100,813
2,2026-07-28T21:08:36Z,7,100,813
3,2026-07-28T21:08:37Z,0,100,813
3,2026-07-28T21:08:37Z,1,100,813
3,2026-07-28T21:08:37Z,2,100,813
3,2026-07-28T21:08:37Z,3,100,813
3,2026-07-28T21:08:37Z,4,100,813
3,2026-07-28T21:08:37Z,5,100,813
3,2026-07-28T21:08:37Z,6,100,813
3,2026-07-28T21:08:37Z,7,100,813
4,2026-07-28T21:08:38Z,0,100,813
4,2026-07-28T21:08:38Z,1,100,813
4,2026-07-28T21:08:38Z,2,100,813
4,2026-07-28T21:08:38Z,3,100,813
4,2026-07-28T21:08:38Z,4,100,813
4,2026-07-28T21:08:38Z,5,100,813
4,2026-07-28T21:08:38Z,6,100,813
4,2026-07-28T21:08:38Z,7,100,813
5,2026-07-28T21:08:40Z,0,100,813
5,2026-07-28T21:08:40Z,1,100,813
5,2026-07-28T21:08:40Z,2,100,813
5,2026-07-28T21:08:40Z,3,100,813
5,2026-07-28T21:08:40Z,4,100,813
5,2026-07-28T21:08:40Z,5,100,813
5,2026-07-28T21:08:40Z,6,100,813
5,2026-07-28T21:08:40Z,7,100,813
6,2026-07-28T21:08:41Z,0,100,813
6,2026-07-28T21:08:41Z,1,100,813
6,2026-07-28T21:08:41Z,2,100,813
6,2026-07-28T21:08:41Z,3,100,813
6,2026-07-28T21:08:41Z,4,100,813
6,2026-07-28T21:08:41Z,5,100,813
6,2026-07-28T21:08:41Z,6,100,813
6,2026-07-28T21:08:41Z,7,100,813
7,2026-07-28T21:08:42Z,0,100,813
7,2026-07-28T21:08:42Z,1,100,813
7,2026-07-28T21:08:42Z,2,100,813
7,2026-07-28T21:08:42Z,3,100,813
7,2026-07-28T21:08:42Z,4,100,813
7,2026-07-28T21:08:42Z,5,100,813
7,2026-07-28T21:08:42Z,6,100,813
7,2026-07-28T21:08:42Z,7,100,813
8,2026-07-28T21:08:43Z,0,100,813
8,2026-07-28T21:08:43Z,1,100,813
8,2026-07-28T21:08:43Z,2,100,813
8,2026-07-28T21:08:43Z,3,100,813
8,2026-07-28T21:08:43Z,4,100,813
8,2026-07-28T21:08:43Z,5,100,813
8,2026-07-28T21:08:43Z,6,100,813
8,2026-07-28T21:08:43Z,7,100,813
9,2026-07-28T21:08:44Z,0,100,813
9,2026-07-28T21:08:44Z,1,100,813
9,2026-07-28T21:08:44Z,2,100,813
9,2026-07-28T21:08:44Z,3,100,813
9,2026-07-28T21:08:44Z,4,100,813
9,2026-07-28T21:08:44Z,5,100,813
9,2026-07-28T21:08:44Z,6,100,813
9,2026-07-28T21:08:44Z,7,100,813
10,2026-07-28T21:08:46Z,0,100,813
10,2026-07-28T21:08:46Z,1,100,813
10,2026-07-28T21:08:46Z,2,100,813
10,2026-07-28T21:08:46Z,3,100,813
10,2026-07-28T21:08:46Z,4,100,813
10,2026-07-28T21:08:46Z,5,100,813
10,2026-07-28T21:08:46Z,6,100,813
10,2026-07-28T21:08:46Z,7,100,813
